date,Foster the People,Cory Wong,Vulfpeck,Emicida,Phoenix,Yuki Hayashi,The Kooks,Taichi Mukai,Red Hot Chili Peppers,Tame Impala
2020-01-01,83,31,1,0,5,0,0,0,1,0
2020-01-08,99,4,0,0,1,0,0,0,28,9
2020-01-15,182,6,0,0,19,0,14,0,2,4
2020-01-22,107,4,19,0,21,0,9,0,11,8
2020-01-29,80,0,8,0,1,0,4,0,1,2
2020-02-05,30,4,35,0,23,0,5,0,4,5
2020-02-12,29,36,84,0,6,0,4,0,5,24
2020-02-19,7,83,7,0,9,0,4,0,4,2
2020-02-26,4,34,4,0,5,0,1,0,0,1
2020-03-04,41,38,4,0,2,0,3,0,1,1
2020-03-11,17,35,2,0,1,0,0,0,0,3
2020-03-18,19,17,11,0,1,0,14,0,6,0
2020-03-25,26,12,9,0,2,0,20,0,9,3
2020-04-01,1,10,9,0,1,0,8,0,2,0
2020-04-08,13,9,19,0,2,0,9,0,6,46
2020-04-15,30,0,2,0,1,0,1,0,0,0
2020-04-22,9,10,3,0,3,0,14,0,4,2
2020-04-29,1,2,9,0,0,0,2,0,4,0
2020-05-06,2,1,2,0,4,0,5,0,2,1
2020-05-13,6,0,8,0,0,0,4,0,3,0
2020-05-20,19,3,4,0,0,0,0,0,1,0
2020-05-27,2,8,4,0,0,0,0,0,0,0
2020-06-03,0,0,2,15,0,0,3,0,0,0
2020-06-10,5,3,3,5,1,0,5,0,3,0
2020-06-17,7,4,0,0,1,0,0,0,0,0
2020-06-24,2,0,2,0,1,0,2,0,1,0
2020-07-01,8,2,3,1,3,0,11,0,8,3
2020-07-08,7,2,1,1,30,0,5,0,3,2
2020-07-15,18,2,5,4,4,0,1,0,0,0
2020-07-22,5,2,21,0,2,0,4,0,1,1
2020-07-29,1,2,8,0,1,0,3,0,0,0
2020-08-05,11,4,18,0,0,0,0,0,0,0
2020-08-12,0,1,1,0,1,0,0,0,1,0
2020-08-19,3,4,8,0,0,0,5,0,2,2
2020-08-26,7,3,14,2,0,0,0,0,1,0
2020-09-02,1,2,2,0,0,0,0,0,0,0
2020-09-09,8,2,2,0,1,0,4,0,1,0
2020-09-16,6,5,1,0,1,50,6,23,2,2
2020-09-23,2,1,2,0,1,11,2,20,1,0
2020-09-30,3,3,1,0,3,83,2,52,0,0
2020-10-07,12,3,7,0,0,4,4,16,1,2
2020-10-14,11,2,13,2,2,3,8,14,8,1
2020-10-21,3,5,8,0,29,10,3,22,3,1
2020-10-28,1,2,6,0,6,16,1,8,0,0
2020-11-04,0,3,6,2,0,33,0,23,0,0
2020-11-11,2,0,1,0,11,5,6,14,0,0
2020-11-18,2,5,7,0,7,2,3,5,2,1
2020-11-25,1,34,5,0,1,0,0,1,0,0
2020-12-02,5,11,8,0,0,0,2,3,3,0
2020-12-09,30,4,0,76,5,1,6,3,0,1
2020-12-16,4,1,4,112,1,0,0,0,0,0
2020-12-23,6,3,8,88,5,0,5,0,5,0
